type,organization_name,packages,resources
access-requests,atipp-office,1,2
access-requests,community-services,18,28
access-requests,economic-development,37,59
access-requests,education,41,60
access-requests,energy-mines-and-resources,48,60
access-requests,environment,89,150
access-requests,executive-council-office,42,60
access-requests,finance,5,8
access-requests,french-language-services-directorate,1,2
access-requests,health-and-social-services,121,170
access-requests,highways-and-public-works,83,133
access-requests,justice,45,72
access-requests,public-service-commission,41,66
access-requests,tourism-and-culture,15,26
access-requests,women-and-gender-equity-directorate,6,9
access-requests,yukon-development-corporation,3,6
access-requests,yukon-energy-corporation,11,23
access-requests,yukon-hospital-corporation,19,30
access-requests,yukon-housing-corporation,24,36
access-requests,yukon-liquor-corporation,20,33
access-requests,yukon-police-council,3,5
access-requests,yukon-university,4,8
access-requests,yukon-workers-compensation-health-and-safety-board,9,11
data,community-services,1,2
data,education,17,158
data,energy-mines-and-resources,1,2
data,environment,1,2
data,geomatics-yukon,405,1287
data,highways-and-public-works,1,2
data,procurement-support-centre,4,4
data,public-service-commission,1,2
data,tourism-and-culture,2,22
data,women-and-gender-equity-directorate,1,4
data,yukon-bureau-of-statistics,6,92
data,yukon-geological-survey,21,145
information,atipp-office,143,213
information,community-services,11,174
information,economic-development,1,0
information,education,12,210
information,elections-yukon,1,24
information,energy-mines-and-resources,2,34
information,environment,68,632
information,executive-council-office,47,8109
information,finance,160,3130
information,health-and-social-services,16,146
information,highways-and-public-works,7,90
information,justice,8,109
information,procurement-support-centre,1,1
information,public-service-commission,1,51
information,tourism-and-culture,5,88
information,women-and-gender-equity-directorate,3,4
information,yukon-geological-survey,1911,4325
information,yukon-liquor-corporation,7,155
pia-summaries,atipp-office,1,0
pia-summaries,community-services,11,0
pia-summaries,economic-development,10,0
pia-summaries,education,7,0
pia-summaries,energy-mines-and-resources,8,0
pia-summaries,environment,14,0
pia-summaries,executive-council-office,3,0
pia-summaries,finance,5,0
pia-summaries,french-language-services-directorate,1,0
pia-summaries,health-and-social-services,45,0
pia-summaries,highways-and-public-works,31,0
pia-summaries,justice,2,0
pia-summaries,public-service-commission,4,0
pia-summaries,tourism-and-culture,13,0
pia-summaries,yukon-housing-corporation,3,0
pia-summaries,yukon-liquor-corporation,1,0
pia-summaries,yukon-workers-compensation-health-and-safety-board,1,0
